Date,Centre_Name,Commodity_Name,Price
07-01-2013,PORT BLAIR,Potato,NA
07-01-2013,ITANAGAR,Potato,NA
07-01-2013,GUWAHATI,Potato,10
07-01-2013,SHILLONG,Potato,18
07-01-2013,AIZWAL,Potato,NA
07-01-2013,DIMAPUR,Potato,20
07-01-2013,AGARTALA,Potato,18
07-01-2013,VIJAYWADA,Potato,19
07-01-2013,BENGALURU,Potato,21
07-01-2013,DHARWAD,Potato,15
07-01-2013,T.PURAM,Potato,27
07-01-2013,ERNAKULAM,Potato,27
07-01-2013,KOZHIKODE,Potato,23
07-01-2013,PUDUCHERRY,Potato,22
07-01-2013,CHENNAI,Potato,20
07-01-2013,DINDIGUL,Potato,25
07-01-2013,THIRUCHIRAPALLI,Potato,20
07-01-2013,HYDERABAD,Potato,18
08-01-2013,CHANDIGARH,Potato,9
08-01-2013,DELHI,Potato,10
08-01-2013,HISAR,Potato,9
08-01-2013,KARNAL,Potato,9
08-01-2013,SHIMLA,Potato,10
08-01-2013,MANDI,Potato,16
08-01-2013,SRINAGAR,Potato,20
08-01-2013,JAMMU,Potato,15
08-01-2013,AMRITSAR,Potato,10
08-01-2013,LUDHIANA,Potato,NA
08-01-2013,BATHINDA,Potato,6
08-01-2013,LUCKNOW,Potato,10
08-01-2013,KANPUR,Potato,8
08-01-2013,VARANASI,Potato,10
08-01-2013,AGRA,Potato,8
08-01-2013,DEHRADUN,Potato,12
08-01-2013,RAIPUR,Potato,16
08-01-2013,PANAJI,Potato,NA
08-01-2013,AHMEDABAD,Potato,18
08-01-2013,RAJKOT,Potato,18
08-01-2013,BHOPAL,Potato,15
08-01-2013,INDORE,Potato,15
08-01-2013,GWALIOR,Potato,20
08-01-2013,JABALPUR,Potato,14
08-01-2013,MUMBAI,Potato,25
08-01-2013,NAGPUR,Potato,15
08-01-2013,JAIPUR,Potato,10
08-01-2013,JODHPUR,Potato,NA
08-01-2013,KOTA,Potato,7
08-01-2013,PATNA,Potato,13
08-01-2013,BHAGALPUR,Potato,8
08-01-2013,RANCHI,Potato,NA
08-01-2013,BHUBANESHWAR,Potato,12
08-01-2013,CUTTACK,Potato,12
08-01-2013,SAMBALPUR,Potato,12
08-01-2013,KOLKATA,Potato,11
08-01-2013,SILIGURI,Potato,NA
08-01-2013,PORT BLAIR,Potato,24
08-01-2013,ITANAGAR,Potato,NA
08-01-2013,GUWAHATI,Potato,10
08-01-2013,SHILLONG,Potato,18
08-01-2013,AIZWAL,Potato,30
08-01-2013,DIMAPUR,Potato,20
08-01-2013,AGARTALA,Potato,18
08-01-2013,VIJAYWADA,Potato,17
08-01-2013,BENGALURU,Potato,21
08-01-2013,DHARWAD,Potato,15
08-01-2013,T.PURAM,Potato,27
08-01-2013,ERNAKULAM,Potato,27
08-01-2013,KOZHIKODE,Potato,23
08-01-2013,PUDUCHERRY,Potato,20
08-01-2013,CHENNAI,Potato,20
08-01-2013,DINDIGUL,Potato,25
08-01-2013,THIRUCHIRAPALLI,Potato,20
08-01-2013,HYDERABAD,Potato,18
09-01-2013,CHANDIGARH,Potato,9
09-01-2013,DELHI,Potato,10
09-01-2013,HISAR,Potato,9
09-01-2013,KARNAL,Potato,10
09-01-2013,SHIMLA,Potato,10
09-01-2013,MANDI,Potato,16
09-01-2013,SRINAGAR,Potato,20
09-01-2013,JAMMU,Potato,15
09-01-2013,AMRITSAR,Potato,10
09-01-2013,LUDHIANA,Potato,10
09-01-2013,BATHINDA,Potato,9
09-01-2013,LUCKNOW,Potato,10
09-01-2013,KANPUR,Potato,8
09-01-2013,VARANASI,Potato,10
09-01-2013,AGRA,Potato,8
09-01-2013,DEHRADUN,Potato,NA
09-01-2013,RAIPUR,Potato,16
09-01-2013,PANAJI,Potato,NA
09-01-2013,AHMEDABAD,Potato,18
09-01-2013,RAJKOT,Potato,10
09-01-2013,BHOPAL,Potato,15
09-01-2013,INDORE,Potato,15
09-01-2013,GWALIOR,Potato,NA
09-01-2013,JABALPUR,Potato,14
09-01-2013,MUMBAI,Potato,22
09-01-2013,NAGPUR,Potato,15
09-01-2013,JAIPUR,Potato,10
09-01-2013,JODHPUR,Potato,12
09-01-2013,KOTA,Potato,7
09-01-2013,PATNA,Potato,13
09-01-2013,BHAGALPUR,Potato,NA
09-01-2013,RANCHI,Potato,12
09-01-2013,BHUBANESHWAR,Potato,12
09-01-2013,CUTTACK,Potato,12
09-01-2013,SAMBALPUR,Potato,12
09-01-2013,KOLKATA,Potato,11
09-01-2013,SILIGURI,Potato,10
09-01-2013,PORT BLAIR,Potato,24
09-01-2013,ITANAGAR,Potato,NA
09-01-2013,GUWAHATI,Potato,10
09-01-2013,SHILLONG,Potato,18
09-01-2013,AIZWAL,Potato,NA
09-01-2013,DIMAPUR,Potato,20
09-01-2013,AGARTALA,Potato,18
09-01-2013,VIJAYWADA,Potato,18
