state,date,rainfall,price
,09-01-2013,,10
,09-01-2013,,18
,09-01-2013,,
nagaland,09-01-2013,,20
,09-01-2013,,18
,09-01-2013,,18
,09-01-2013,,21
karnataka,09-01-2013,2.4,15
,09-01-2013,,
kerala,09-01-2013,3.9,
kerala,09-01-2013,3.9,
puducherry,09-01-2013,,20
tamil nadu,09-01-2013,3.9,20
tamil nadu,09-01-2013,3.9,25
,09-01-2013,,19
telangana,09-01-2013,2.4,20
chandigarh,10-01-2013,,9
,10-01-2013,,10
haryana,10-01-2013,21.1,9
haryana,10-01-2013,21.1,10
himachal pradesh,10-01-2013,79.9,10
himachal pradesh,10-01-2013,79.9,16
jammu kashmir,10-01-2013,,20
jammu kashmir,10-01-2013,,15
punjab,10-01-2013,9.3,10
punjab,10-01-2013,9.3,10
punjab,10-01-2013,9.3,15
uttar pradesh,10-01-2013,6.1,10
,10-01-2013,,8
uttar pradesh,10-01-2013,6.1,10
uttar pradesh,10-01-2013,6.1,8
uttarakhand,10-01-2013,73,10
chhattisgarh,10-01-2013,2.8,16
,10-01-2013,,
gujarat,10-01-2013,0,18
gujarat,10-01-2013,0,11
madhya pradesh,10-01-2013,1.7,15
madhya pradesh,10-01-2013,1.7,15
madhya pradesh,10-01-2013,1.7,20
madhya pradesh,10-01-2013,1.7,14
,10-01-2013,,22
maharashtra,10-01-2013,0.1,15
rajasthan,10-01-2013,1.4,10
rajasthan,10-01-2013,1.4,12
rajasthan,10-01-2013,1.4,7
bihar,10-01-2013,5.1,13
bihar,10-01-2013,5.1,8
jharkhand,10-01-2013,1.1,12
,10-01-2013,,12
odisha,10-01-2013,,
odisha,10-01-2013,,12
west bengal,10-01-2013,2.5,11
,10-01-2013,,10
,10-01-2013,,24
,10-01-2013,,
,10-01-2013,,12
,10-01-2013,,18
,10-01-2013,,30
nagaland,10-01-2013,,20
,10-01-2013,,18
,10-01-2013,,16
,10-01-2013,,21
karnataka,10-01-2013,2.4,15
,10-01-2013,,
kerala,10-01-2013,3.9,
kerala,10-01-2013,3.9,
puducherry,10-01-2013,,20
tamil nadu,10-01-2013,3.9,20
tamil nadu,10-01-2013,3.9,25
,10-01-2013,,19
telangana,10-01-2013,2.4,20
chandigarh,11-01-2013,,9
,11-01-2013,,10
haryana,11-01-2013,21.1,9
haryana,11-01-2013,21.1,10
himachal pradesh,11-01-2013,79.9,10
himachal pradesh,11-01-2013,79.9,16
jammu kashmir,11-01-2013,,20
jammu kashmir,11-01-2013,,15
punjab,11-01-2013,9.3,10
punjab,11-01-2013,9.3,10
punjab,11-01-2013,9.3,15
uttar pradesh,11-01-2013,6.1,10
,11-01-2013,,8
uttar pradesh,11-01-2013,6.1,10
uttar pradesh,11-01-2013,6.1,8
uttarakhand,11-01-2013,73,10
chhattisgarh,11-01-2013,2.8,16
,11-01-2013,,
gujarat,11-01-2013,0,18
gujarat,11-01-2013,0,11
madhya pradesh,11-01-2013,1.7,15
madhya pradesh,11-01-2013,1.7,
madhya pradesh,11-01-2013,1.7,
madhya pradesh,11-01-2013,1.7,
,11-01-2013,,20
maharashtra,11-01-2013,0.1,15
rajasthan,11-01-2013,1.4,10
rajasthan,11-01-2013,1.4,
rajasthan,11-01-2013,1.4,7
bihar,11-01-2013,5.1,13
bihar,11-01-2013,5.1,8
jharkhand,11-01-2013,1.1,
,11-01-2013,,12
odisha,11-01-2013,,12
odisha,11-01-2013,,12
west bengal,11-01-2013,2.5,10
,11-01-2013,,10
,11-01-2013,,24
,11-01-2013,,
,11-01-2013,,12
,11-01-2013,,18
,11-01-2013,,
nagaland,11-01-2013,,20
,11-01-2013,,17
,11-01-2013,,15
,11-01-2013,,21
karnataka,11-01-2013,2.4,15
,11-01-2013,,
kerala,11-01-2013,3.9,
kerala,11-01-2013,3.9,
puducherry,11-01-2013,,20
tamil nadu,11-01-2013,3.9,20
tamil nadu,11-01-2013,3.9,25
,11-01-2013,,19
telangana,11-01-2013,2.4,18
chandigarh,14-01-2013,,9
,14-01-2013,,10
haryana,14-01-2013,21.1,9
haryana,14-01-2013,21.1,10
himachal pradesh,14-01-2013,79.9,10
himachal pradesh,14-01-2013,79.9,16
jammu kashmir,14-01-2013,,20
jammu kashmir,14-01-2013,,15
punjab,14-01-2013,9.3,10
punjab,14-01-2013,9.3,
punjab,14-01-2013,9.3,
uttar pradesh,14-01-2013,6.1,
,14-01-2013,,
uttar pradesh,14-01-2013,6.1,
uttar pradesh,14-01-2013,6.1,
uttarakhand,14-01-2013,73,10
chhattisgarh,14-01-2013,2.8,16
,14-01-2013,,
gujarat,14-01-2013,0,
gujarat,14-01-2013,0,
madhya pradesh,14-01-2013,1.7,
madhya pradesh,14-01-2013,1.7,15
madhya pradesh,14-01-2013,1.7,
madhya pradesh,14-01-2013,1.7,
,14-01-2013,,16
maharashtra,14-01-2013,0.1,15
rajasthan,14-01-2013,1.4,
rajasthan,14-01-2013,1.4,12
rajasthan,14-01-2013,1.4,
bihar,14-01-2013,5.1,13
bihar,14-01-2013,5.1,8
jharkhand,14-01-2013,1.1,
,14-01-2013,,12
odisha,14-01-2013,,12
odisha,14-01-2013,,12
west bengal,14-01-2013,2.5,10
,14-01-2013,,10
,14-01-2013,,
,14-01-2013,,
,14-01-2013,,
,14-01-2013,,
,14-01-2013,,30
nagaland,14-01-2013,,20
,14-01-2013,,17
,14-01-2013,,
,14-01-2013,,
karnataka,14-01-2013,2.4,
,14-01-2013,,
kerala,14-01-2013,3.9,
kerala,14-01-2013,3.9,
puducherry,14-01-2013,,
tamil nadu,14-01-2013,3.9,
tamil nadu,14-01-2013,3.9,
,14-01-2013,,
telangana,14-01-2013,2.4,
chandigarh,15-01-2013,,9
,15-01-2013,,10
haryana,15-01-2013,21.1,9
haryana,15-01-2013,21.1,10
himachal pradesh,15-01-2013,79.9,10
himachal pradesh,15-01-2013,79.9,16
jammu kashmir,15-01-2013,,
jammu kashmir,15-01-2013,,15
punjab,15-01-2013,9.3,10
punjab,15-01-2013,9.3,10
punjab,15-01-2013,9.3,8
uttar pradesh,15-01-2013,6.1,10
,15-01-2013,,8
uttar pradesh,15-01-2013,6.1,10
uttar pradesh,15-01-2013,6.1,8
uttarakhand,15-01-2013,73,10
chhattisgarh,15-01-2013,2.8,16
,15-01-2013,,
gujarat,15-01-2013,0,
gujarat,15-01-2013,0,
madhya pradesh,15-01-2013,1.7,15
madhya pradesh,15-01-2013,1.7,15
madhya pradesh,15-01-2013,1.7,
madhya pradesh,15-01-2013,1.7,14
,15-01-2013,,18
maharashtra,15-01-2013,0.1,15
rajasthan,15-01-2013,1.4,10
rajasthan,15-01-2013,1.4,12
rajasthan,15-01-2013,1.4,7
bihar,15-01-2013,5.1,13
bihar,15-01-2013,5.1,10
jharkhand,15-01-2013,1.1,
,15-01-2013,,12
odisha,15-01-2013,,12
odisha,15-01-2013,,12
west bengal,15-01-2013,2.5,10
,15-01-2013,,10
,15-01-2013,,
,15-01-2013,,15
,15-01-2013,,
,15-01-2013,,18
,15-01-2013,,30
nagaland,15-01-2013,,20
,15-01-2013,,17
,15-01-2013,,17
,15-01-2013,,20
karnataka,15-01-2013,2.4,15
,15-01-2013,,27
kerala,15-01-2013,3.9,24
kerala,15-01-2013,3.9,23
puducherry,15-01-2013,,
tamil nadu,15-01-2013,3.9,
tamil nadu,15-01-2013,3.9,
,15-01-2013,,
